,A070101_sj,A070102_sj,A070103_sj,A070104_sj,A070105_sj,A070106_sj,A070107_sj,A070108_sj
199004,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199003,576.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199002,576.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199001,657.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198912,665.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198911,579.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198910,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198909,585.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198908,545.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198907,545.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198906,566.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198905,574.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198904,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198903,608.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198902,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198901,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198812,663.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198811,585.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198810,581.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198809,600.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198808,558.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198807,514.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198806,521.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198805,489.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198804,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198803,487.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198802,522.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198801,528.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198712,561.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198711,471.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198710,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198709,439.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198708,396.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198707,390.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198706,400.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198705,389.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
